date,match_num,home,away,market,selection,line,odds,edge,source,close_odds,result,pl
2026-07-23,823438,Philadelphia Phillies,Los Angeles Dodgers,1X2,home,,3.25,0.0953,market,3.25,loss,-1.0
2026-07-23,824247,Detroit Tigers,Kansas City Royals,1X2,away,,2.85,0.061,market,2.85,loss,-1.0
2026-08-02,824808,Baltimore Orioles,Philadelphia Phillies,1X2,home,,3.65,0.0799,market,3.65,loss,-1.0
2026-08-03,823919,Los Angeles Dodgers,Boston Red Sox,1X2,away,,2.25,0.0683,market,2.25,win,1.25
2026-08-08,824726,Boston Red Sox,Athletics,1X2,away,,2.88,0.0819,market,2.88,win,1.88
2026-08-09,823425,Philadelphia Phillies,Toronto Blue Jays,1X2,away,,4.75,0.0696,market,4.75,loss,-1.0
2026-08-09,822862,Texas Rangers,Baltimore Orioles,1X2,away,,2.15,0.0621,market,2.15,win,1.15
2026-08-11,822780,Toronto Blue Jays,Boston Red Sox,1X2,away,,4.95,0.091,market,4.95,loss,-1.0
2026-08-11,823998,Los Angeles Angels,Texas Rangers,1X2,home,,2.02,0.0612,market,2.02,loss,-1.0
2026-08-12,823187,San Francisco Giants,Houston Astros,1X2,home,,1.75,0.0711,market,1.75,loss,-1.0
2026-08-12,825047,Arizona Diamondbacks,Colorado Rockies,1X2,home,,8.5,0.0936,market,8.5,loss,-1.0
2026-08-12,824883,Atlanta Braves,New York Mets,1X2,away,,2.72,0.0829,market,2.72,loss,-1.0
2026-08-12,824562,Chicago White Sox,Cincinnati Reds,1X2,away,,2.36,0.0854,market,2.36,loss,-1.0
2026-08-14,824643,Chicago Cubs,St. Louis Cardinals,1X2,away,,12.0,0.076,market,12.0,loss,-1.0
2026-08-15,823588,New York Mets,Washington Nationals,1X2,away,,3.86,0.0639,market,3.86,loss,-1.0
2026-08-15,824157,Houston Astros,Seattle Mariners,1X2,home,,1.83,0.0596,market,1.83,loss,-1.0
2026-08-16,823347,Pittsburgh Pirates,Boston Red Sox,1X2,home,,4.8,0.0541,market,4.8,loss,-1.0
2026-08-16,823590,New York Mets,Washington Nationals,1X2,away,,4.95,0.0652,market,4.95,loss,-1.0
2026-08-16,823991,Los Angeles Angels,Kansas City Royals,1X2,away,,1.8,0.0669,market,1.8,win,0.8
2026-08-16,823912,Los Angeles Dodgers,Milwaukee Brewers,1X2,away,,2.71,0.0654,market,2.71,win,1.71
2026-08-16,823182,San Francisco Giants,Colorado Rockies,1X2,home,,8.5,0.0704,market,8.5,loss,-1.0
2026-08-17,823427,Philadelphia Phillies,Miami Marlins,1X2,away,,3.23,0.0652,market,3.23,loss,-1.0
2026-08-18,824475,Cincinnati Reds,St. Louis Cardinals,1X2,away,,1.9,0.0836,market,1.9,win,0.9
