id,name,team,ip,runs,gs,so,bb,hr
681084,Tanner Andrews,Toronto Blue Jays,3.0,0,0,1,2,0
702352,Spencer Bivens,San Francisco Giants,2.0,2,0,3,1,0
621389,Ty Blach,Chicago Cubs,3.0,0,0,2,0,0
682997,Tyler Callihan,Pittsburgh Pirates,2.0,0,0,0,3,0
682769,Eiberson Castellano,Colorado Rockies,3.0,0,0,2,0,0
676680,Tom Cosgrove,Washington Nationals,3.6666666666666665,0,0,4,1,0
672442,Yovanny Cruz,New York Yankees,4.333333333333333,0,0,6,0,0
694753,Khristian Curtis,Pittsburgh Pirates,5.0,0,0,4,2,0
701474,Duncan Davitt,Chicago White Sox,1.0,0,0,0,1,0
650960,Daniel Duarte,New York Mets,5.0,0,0,3,1,0
664744,Jose Espada,Baltimore Orioles,1.0,0,0,0,0,0
671345,Jason Foley,San Francisco Giants,2.0,0,0,1,0,0
675627,Michael Grove,Tampa Bay Rays,3.0,0,0,4,0,0
664059,Sam Haggerty,Texas Rangers,1.0,0,0,0,0,0
700327,Welinton Herrera,Colorado Rockies,2.3333333333333335,0,0,2,1,0
664731,P.J. Higgins,Cincinnati Reds,1.0,0,0,1,0,0
621139,Brooks Kriske,Athletics,2.6666666666666665,0,0,2,1,0
668834,Easton McGee,Milwaukee Brewers,2.0,0,0,1,1,0
624512,Reese McGuire,Chicago White Sox,1.0,0,0,0,0,0
676694,Jake Meyers,Houston Astros,1.0,0,0,0,0,0
668670,Jake Rogers,Detroit Tigers,1.3333333333333333,0,0,1,0,0
605441,Yacksel Ríos,Chicago Cubs,1.6666666666666665,0,0,2,0,0
680474,Max Schuemann,New York Yankees,1.0,0,0,0,1,0
670097,Zack Short,New York Mets,1.0,0,0,0,0,0
668831,Garrett Stallings,Milwaukee Brewers,3.0,0,0,4,1,0
664702,Myles Straw,Toronto Blue Jays,2.3333333333333335,0,0,0,1,0
663494,Bryan Torres,St. Louis Cardinals,2.0,0,0,0,1,0
699044,Miguel Ullola,Houston Astros,4.0,0,0,7,0,0
669310,CJ Van Eyk,Toronto Blue Jays,2.0,0,0,1,0,0
545121,Ildemaro Vargas,Arizona Diamondbacks,1.6666666666666665,0,0,0,2,0
592826,Vince Velasquez,Chicago Cubs,3.3333333333333335,0,0,1,0,0
687721,Cameron Weston,Baltimore Orioles,1.0,0,0,1,1,0
678868,Eddy Yean,Washington Nationals,2.0,0,0,3,1,0
670871,Guillo Zuñiga,New York Mets,1.0,0,0,1,1,0
666374,Matt Brash,Seattle Mariners,16.666666666666668,2,0,15,6,0
663158,Robert Suarez,Atlanta Braves,32.0,2,0,26,6,1
683409,Angel Chivilli,New York Yankees,10.333333333333334,2,0,11,4,1
695243,Mason Miller,San Diego Padres,40.666666666666664,6,0,75,14,0
