date,match_num,home,away,market,selection,line,odds,edge,source,close_odds,result,pl
2026-07-04,822716,Washington Nationals,Pittsburgh Pirates,1X2,away,,1.6,,market,1.6,win,0.6
2026-07-04,822716,Washington Nationals,Pittsburgh Pirates,OU,大,9.5,1.75,,market,1.75,loss,-1.0
2026-07-04,822716,Washington Nationals,Pittsburgh Pirates,AH,客,-1.5,,,model,,win,
2026-07-04,823526,New York Yankees,Minnesota Twins,1X2,home,,1.6,,market,1.6,loss,-1.0
2026-07-04,823526,New York Yankees,Minnesota Twins,OU,大,9.5,1.8,,market,1.8,win,0.8
2026-07-04,823526,New York Yankees,Minnesota Twins,AH,客,-1.5,1.67,,market,1.67,win,0.67
2026-07-04,822882,Texas Rangers,Detroit Tigers,1X2,home,,2.0,,market,2.0,loss,-1.0
2026-07-04,822882,Texas Rangers,Detroit Tigers,OU,大,7.5,1.75,,market,1.75,loss,-1.0
2026-07-04,822882,Texas Rangers,Detroit Tigers,AH,客,-1.5,,,model,,win,
2026-07-04,823118,Seattle Mariners,Toronto Blue Jays,1X2,home,,1.62,,market,1.62,win,0.62
2026-07-04,823118,Seattle Mariners,Toronto Blue Jays,AH,客,-1.5,1.6,,market,1.6,loss,-1.0
2026-07-04,824499,Cincinnati Reds,Baltimore Orioles,1X2,away,,2.0,,market,2.0,win,1.0
2026-07-04,824499,Cincinnati Reds,Baltimore Orioles,OU,小,9.5,1.75,,market,1.75,loss,-1.0
2026-07-04,824499,Cincinnati Reds,Baltimore Orioles,AH,客,-1.5,1.5,,market,1.5,win,0.5
2026-07-04,824171,Houston Astros,Tampa Bay Rays,1X2,away,,1.91,,market,1.91,loss,-1.0
2026-07-04,824171,Houston Astros,Tampa Bay Rays,AH,客,-1.5,,,model,,loss,
2026-07-04,824415,Cleveland Guardians,Chicago White Sox,1X2,home,,1.65,,market,1.65,loss,-1.0
2026-07-04,824415,Cleveland Guardians,Chicago White Sox,OU,小,7.5,1.91,,market,1.91,win,0.91
2026-07-04,824415,Cleveland Guardians,Chicago White Sox,AH,客,-1.5,1.57,,market,1.57,win,0.57
2026-07-04,824658,Chicago Cubs,St. Louis Cardinals,1X2,home,,1.58,,market,1.58,loss,-1.0
2026-07-04,824658,Chicago Cubs,St. Louis Cardinals,OU,大,8.5,1.91,,market,1.91,loss,-1.0
2026-07-04,824658,Chicago Cubs,St. Louis Cardinals,AH,客,-1.5,1.65,,market,1.65,win,0.65
2026-07-04,824903,Atlanta Braves,New York Mets,1X2,home,,1.57,,market,1.57,win,0.57
2026-07-04,824903,Atlanta Braves,New York Mets,OU,小,8.5,1.8,,market,1.8,loss,-1.0
