date,match_num,home,away,market,selection,line,odds,edge,source,close_odds,result,pl
2026-06-18,26,Czech Republic,South Africa,1X2,home,,,,,,loss,
2026-06-18,26,Czech Republic,South Africa,OU,小,2.5,,,,,win,
2026-06-18,26,Czech Republic,South Africa,BTTS,否,,,,,,loss,
2026-06-18,26,Czech Republic,South Africa,AH,客,-0.5,,,,,win,
2026-06-18,27,Mexico,South Korea,1X2,home,,,,,,win,
2026-06-18,27,Mexico,South Korea,OU,小,2.5,,,,,win,
2026-06-18,27,Mexico,South Korea,BTTS,否,,,,,,win,
2026-06-18,27,Mexico,South Korea,AH,客,-0.25,,,,,loss,
2026-06-24,50,Czech Republic,Mexico,1X2,away,,,,,,pending,
2026-06-24,50,Czech Republic,Mexico,OU,小,2.5,,,,,pending,
2026-06-24,50,Czech Republic,Mexico,BTTS,否,,,,,,pending,
2026-06-24,50,Czech Republic,Mexico,AH,客,0.75,,,,,pending,
2026-06-24,53,South Africa,South Korea,1X2,away,,,,,,pending,
2026-06-24,53,South Africa,South Korea,OU,小,2.5,,,,,pending,
2026-06-24,53,South Africa,South Korea,BTTS,否,,,,,,pending,
2026-06-24,53,South Africa,South Korea,AH,客,0.75,,,,,pending,
2026-06-18,28,Switzerland,Bosnia and Herzegovina,1X2,home,,,,,,win,
2026-06-18,28,Switzerland,Bosnia and Herzegovina,OU,小,2.5,,,,,loss,
2026-06-18,28,Switzerland,Bosnia and Herzegovina,BTTS,否,,,,,,loss,
2026-06-18,28,Switzerland,Bosnia and Herzegovina,AH,客,-1.25,,,,,loss,
2026-06-18,25,Canada,Qatar,1X2,home,,,,,,win,
2026-06-18,25,Canada,Qatar,OU,大,2.5,,,,,win,
2026-06-18,25,Canada,Qatar,BTTS,否,,,,,,win,
2026-06-18,25,Canada,Qatar,AH,主,-1.75,,,,,win,
2026-06-24,54,Switzerland,Canada,1X2,home,,,,,,pending,
2026-06-24,54,Switzerland,Canada,OU,小,2.5,,,,,pending,
2026-06-24,54,Switzerland,Canada,BTTS,否,,,,,,pending,
2026-06-24,54,Switzerland,Canada,AH,客,-0.25,,,,,pending,
2026-06-24,49,Bosnia and Herzegovina,Qatar,1X2,home,,,,,,pending,
2026-06-24,49,Bosnia and Herzegovina,Qatar,OU,小,2.5,,,,,pending,
2026-06-24,49,Bosnia and Herzegovina,Qatar,BTTS,否,,,,,,pending,
2026-06-24,49,Bosnia and Herzegovina,Qatar,AH,主,-0.75,,,,,pending,
2026-06-19,30,Scotland,Morocco,1X2,away,,,,,,win,
2026-06-19,30,Scotland,Morocco,OU,小,2.5,,,,,win,
2026-06-19,30,Scotland,Morocco,BTTS,否,,,,,,win,
2026-06-19,30,Scotland,Morocco,AH,客,0.75,,,,,win,
2026-06-19,29,Brazil,Haiti,1X2,home,,,,,,win,
2026-06-19,29,Brazil,Haiti,OU,大,2.5,,,,,win,
2026-06-19,29,Brazil,Haiti,AH,客,-2.25,,,,,loss,
2026-06-24,52,Scotland,Brazil,1X2,away,,,,,,pending,
2026-06-24,52,Scotland,Brazil,OU,大,2.5,,,,,pending,
2026-06-24,52,Scotland,Brazil,AH,客,1.0,,,,,pending,
2026-06-24,51,Morocco,Haiti,1X2,home,,,,,,pending,
2026-06-24,51,Morocco,Haiti,OU,小,2.5,,,,,pending,
2026-06-24,51,Morocco,Haiti,BTTS,否,,,,,,pending,
2026-06-24,51,Morocco,Haiti,AH,客,-1.5,,,,,pending,
2026-06-19,32,United States,Australia,1X2,away,,,,,,loss,
2026-06-19,32,United States,Australia,OU,小,2.5,,,,,win,
2026-06-19,32,United States,Australia,BTTS,否,,,,,,win,
2026-06-19,32,United States,Australia,AH,主,0.5,,,,,win,
2026-06-19,31,Turkey,Paraguay,1X2,away,,,,,,win,
2026-06-19,31,Turkey,Paraguay,OU,小,2.5,,,,,win,
2026-06-19,31,Turkey,Paraguay,BTTS,否,,,,,,win,
2026-06-19,31,Turkey,Paraguay,AH,客,0.0,,,,,win,
2026-06-25,60,Turkey,United States,1X2,home,,,,,,pending,
2026-06-25,60,Turkey,United States,OU,大,2.5,,,,,pending,
2026-06-25,60,Turkey,United States,BTTS,是,,,,,,pending,
2026-06-25,60,Turkey,United States,AH,主,-0.75,,,,,pending,
2026-06-25,58,Paraguay,Australia,1X2,draw,,,,,,pending,
2026-06-25,58,Paraguay,Australia,OU,小,2.5,,,,,pending,
2026-06-25,58,Paraguay,Australia,BTTS,否,,,,,,pending,
2026-06-25,58,Paraguay,Australia,AH,主,-0.0,,,,,pending,
2026-06-20,34,Germany,Ivory Coast,1X2,home,,,,,,win,
2026-06-20,34,Germany,Ivory Coast,OU,小,2.5,,,,,loss,
2026-06-20,34,Germany,Ivory Coast,AH,客,-0.25,,,,,loss,
2026-06-20,33,Ecuador,Curaçao,1X2,home,,,,,,loss,
2026-06-20,33,Ecuador,Curaçao,BTTS,否,,,,,,win,
2026-06-20,33,Ecuador,Curaçao,AH,客,-2.25,,,,,win,
2026-06-25,55,Curaçao,Ivory Coast,1X2,away,,,,,,pending,
2026-06-25,55,Curaçao,Ivory Coast,BTTS,否,,,,,,pending,
2026-06-25,55,Curaçao,Ivory Coast,AH,客,1.75,,,,,pending,
2026-06-25,56,Ecuador,Germany,1X2,home,,,,,,pending,
2026-06-25,56,Ecuador,Germany,OU,小,2.5,,,,,pending,
2026-06-25,56,Ecuador,Germany,BTTS,否,,,,,,pending,
2026-06-25,56,Ecuador,Germany,AH,客,-0.25,,,,,pending,
2026-06-20,35,Netherlands,Sweden,1X2,home,,,,,,win,
2026-06-20,35,Netherlands,Sweden,OU,大,2.5,,,,,win,
2026-06-20,35,Netherlands,Sweden,BTTS,是,,,,,,win,
2026-06-20,35,Netherlands,Sweden,AH,主,-1.0,,,,,win,
2026-06-20,36,Tunisia,Japan,1X2,away,,,,,,win,
2026-06-20,36,Tunisia,Japan,OU,小,2.5,,,,,loss,
2026-06-20,36,Tunisia,Japan,BTTS,否,,,,,,win,
2026-06-20,36,Tunisia,Japan,AH,主,1.5,,,,,loss,
2026-06-25,57,Japan,Sweden,1X2,home,,,,,,pending,
2026-06-25,57,Japan,Sweden,OU,大,2.5,,,,,pending,
2026-06-25,57,Japan,Sweden,AH,客,-1.5,,,,,pending,
2026-06-25,59,Tunisia,Netherlands,1X2,away,,,,,,pending,
2026-06-25,59,Tunisia,Netherlands,BTTS,否,,,,,,pending,
2026-06-25,59,Tunisia,Netherlands,AH,主,1.25,,,,,pending,
2026-06-21,37,Belgium,Iran,1X2,home,,,,,,loss,
2026-06-21,37,Belgium,Iran,BTTS,是,,,,,,loss,
2026-06-21,37,Belgium,Iran,AH,客,-0.25,,,,,win,
2026-06-21,38,New Zealand,Egypt,1X2,away,,,,,,win,
2026-06-21,38,New Zealand,Egypt,OU,小,2.5,,,,,loss,
2026-06-21,38,New Zealand,Egypt,BTTS,否,,,,,,loss,
2026-06-21,38,New Zealand,Egypt,AH,主,0.5,,,,,loss,
2026-06-26,62,Egypt,Iran,1X2,away,,,,,,pending,
2026-06-26,62,Egypt,Iran,OU,小,2.5,,,,,pending,
2026-06-26,62,Egypt,Iran,BTTS,否,,,,,,pending,
2026-06-26,62,Egypt,Iran,AH,主,0.25,,,,,pending,
2026-06-26,63,New Zealand,Belgium,1X2,away,,,,,,pending,
2026-06-26,63,New Zealand,Belgium,AH,主,1.0,,,,,pending,
2026-06-21,39,Spain,Saudi Arabia,1X2,home,,,,,,win,
2026-06-21,39,Spain,Saudi Arabia,BTTS,否,,,,,,win,
2026-06-21,39,Spain,Saudi Arabia,AH,客,-2.0,,,,,loss,
2026-06-21,40,Uruguay,Cape Verde,1X2,home,,,,,,loss,
2026-06-21,40,Uruguay,Cape Verde,OU,小,2.5,,,,,loss,
2026-06-21,40,Uruguay,Cape Verde,BTTS,否,,,,,,loss,
2026-06-21,40,Uruguay,Cape Verde,AH,客,-1.0,,,,,win,
2026-06-26,61,Cape Verde,Saudi Arabia,1X2,away,,,,,,pending,
2026-06-26,61,Cape Verde,Saudi Arabia,OU,小,2.5,,,,,pending,
2026-06-26,61,Cape Verde,Saudi Arabia,BTTS,否,,,,,,pending,
2026-06-26,61,Cape Verde,Saudi Arabia,AH,客,0.0,,,,,pending,
2026-06-26,66,Uruguay,Spain,1X2,away,,,,,,pending,
2026-06-26,66,Uruguay,Spain,OU,小,2.5,,,,,pending,
2026-06-26,66,Uruguay,Spain,BTTS,否,,,,,,pending,
2026-06-26,66,Uruguay,Spain,AH,客,0.75,,,,,pending,
2026-06-22,42,France,Iraq,1X2,home,,,,,,win,
2026-06-22,42,France,Iraq,OU,小,2.5,,,,,loss,
2026-06-22,42,France,Iraq,BTTS,否,,,,,,win,
2026-06-22,42,France,Iraq,AH,客,-1.25,,,,,loss,
2026-06-22,44,Norway,Senegal,1X2,home,,,,,,win,
2026-06-22,44,Norway,Senegal,OU,大,2.5,,,,,win,
2026-06-22,44,Norway,Senegal,AH,主,-0.75,,,,,win,
2026-06-26,64,Norway,France,1X2,home,,,,,,pending,
2026-06-26,64,Norway,France,BTTS,是,,,,,,pending,
2026-06-26,64,Norway,France,AH,客,-0.25,,,,,pending,
2026-06-26,65,Senegal,Iraq,1X2,home,,,,,,pending,
2026-06-26,65,Senegal,Iraq,OU,小,2.5,,,,,pending,
2026-06-26,65,Senegal,Iraq,BTTS,否,,,,,,pending,
2026-06-26,65,Senegal,Iraq,AH,主,-0.75,,,,,pending,
2026-06-22,41,Argentina,Austria,1X2,home,,,,,,win,
2026-06-22,41,Argentina,Austria,OU,小,2.5,,,,,win,
2026-06-22,41,Argentina,Austria,BTTS,否,,,,,,win,
